Address,Leak,Limit,Mint
0x93023f1d3525e273f291b6f76d2f5027a39bf302,0,1,1
0x2753dce37a7edb052a77832039bcc9aa49ad8b25,0,1,0
0x94b7d24552933f50a5a5705c446528806dcea381,0,0,0
0xe0b9d4146aad6936cbfcbe4dae47e34aab96b093,0,0,0
0x10f6f2b97f3ab29583d9d38babf2994df7220c21,0,1,1
0x11cbc781dadaad13fc3a361772c80b1c027820af,0,0,0
0x3e597ea168a85aa2ae5e2c4333665bcd875ed10f,0,1,0
0x292e89d5d5bdab3af2f5838c194c1983f0140b43,0,1,0
0xef20505c8b343d12da174bf9d8495c1ce2670989,0,1,0
0xc71d244f7ad6c869ecbf13cbd9acae31718be4f8,0,1,0
0x5927b72440d8a8b8c6ca5a8be60e88975f9063fc,0,1,0
0xc709878167ed069aea15fd0bd4e9758ceb4da193,0,0,0
0x1e4402fa427a7a835fc64ea6d051404ce767a569,1,1,0
0xcb6cd204d783dc8d66896a6def5867d332228d7b,0,1,0
0x455dedacbe41c178953119847f2b95e2d9ad0a1d,1,1,0
0x831467b7b6bf9c705dc87899d48b57ee55c8d5cc,0,0,1
0x6609f543d38816116fa5b9a98c918ca947f5455d,0,0,0
0x90f75ca026add95ae15ecbf48efc77ed272945be,1,0,1
0x52e4339b4b9ff254738d6e971e83440f60dc029c,0,1,1
0x51c5807dd8398aedfcc91e6483417838b41eaeb8,0,0,0
0xa0ffc741f109159ee203424a299e6d2731dcfc76,0,0,0
0x9372b371196751dd2f603729ae8d8014bbeb07f6,0,0,1
0x186ed770eecea82def7c92dcc077c4ba27acd5bd,0,1,1
0x28c748535cc0c774d7bb046adba0c9d77e3b4c92,0,1,0
0xd00736f864ecd5bef5996c735f98769ae0d10c7c,0,1,0
0x9a3fb36bf72a387fcc821a38ee9f50f1a0eb8cbd,0,1,1
0xe7e63e244c52b2230666e263657ba8db2b6b3705,0,1,1
0x25d8f027fd25eecbcd812521fb2f75f175807a91,0,1,1
0x1250b98cbde9f99f4c42dcdacee193221f17eb50,0,0,1
0x0414d8c87b271266a5864329fb4932bbe19c0c49,0,0,1
0x292f57c7fcd726ba651e46b620d99cc6afe0ec1c,1,1,0
0x9db8a10c7fe60d84397860b3af2e686d4f90c2b7,1,1,1
0xabe776435f7459e2f5ba773bfb753ed19a053dd0,0,0,0
0x8d07f605926837ea0f9e1e24dba0fb348cb3e97d,1,1,0
0x42269ac712372ac89a158ad5a32806c6b6782d66,1,0,0
