address,mint,leak,limit,60,80,40,52,04,36,10,61,00,db,57,35,7c,01,90,63,ff,16,06,fd,de,03,14,e0,09,5e,a7,b3,70,18,0d,dd,d5,23,b8,72,02,31,3c,e5,67,85,42,96,6c,68,b6,66,84,e3,a0,82,48,71,50,a6,9f,8d,a5,cb,5b,95,d8,9b,41,a9,05,9c,bb,9d,d7,3d,d6,62,ed,3e,f2,8b,34,15,ec,f5,21,56,51,20,81,83,91,1a,1f,0a,19,92,f3,73,bf,e1,ea,07,b1,0c,6b,b7,9a,0b,77,c2,8a,ef,2e,97,54,89,0e,29,ab,b4,0f,74,22,99,47,8f,e8,37,4d,12,5c,c8,58,df,8c,11,33,55,7f,eb,7d,d1,4f,1e,c0,f7,b2,c7,c3,b9,25,a3,08,ce,87,46,86,b5,5f,ad,1b,e2,69,b0,fc,aa,2b,f1,c4,a1,28,5a,93,94,7b,bc,88,cd,f8,2f,59,98,45,2c,f9,ae,c6,a2,17,3a,43,fe,c9,cc,32,bd,44,cf,7a,5d,39,6d,53,13,d0,a4,49,da,af,6f,64,65,30,c5,1c,4a,79,6a,fa,d3,2a,78,2d,c1,24,3b,ca,76,8e,f4,d9,4c,26,6e,75,a8,1d,ac,ba,e6,d2,4e,fb,ee,38,4b,e9,dc,f6,3f,d4,e7,be,f0,e4,7e,27,9e
0x93023f1d3525e273f291b6f76d2f5027a39bf302,1,0,1,410,84,55.0,134.0,73.0,15,11.0,289.0,70.0,0.0,70,8.0,1.0,201.0,105.0,46.0,14.0,50.0,8.0,21,2.0,75.0,33.0,7.0,14.0,3.0,5.0,5.0,8.0,4.0,37.0,8.0,0.0,6.0,2.0,38.0,39.0,3.0,2.0,18.0,4.0,28.0,6.0,2.0,16.0,16.0,3.0,9.0,34.0,4.0,31.0,104.0,3.0,6.0,80.0,8.0,0.0,5.0,3.0,3.0,168,9.0,4.0,4.0,5.0,2.0,13.0,4.0,2.0,4.0,4.0,0.0,4.0,24.0,2.0,5,9.0,4.0,1.0,35,1.0,7.0,3.0,138.0,38.0,132.0,105.0,39.0,48.0,0.0,7.0,5.0,8.0,23.0,2,29,1.0,3.0,5.0,19.0,1.0,6.0,3.0,0.0,2.0,6.0,10.0,8.0,2.0,6.0,0.0,1.0,30.0,2.0,19.0,2.0,2.0,1.0,25.0,26.0,6.0,1.0,1.0,1.0,2.0,4,4.0,10.0,6.0,4.0,3.0,1.0,6.0,8.0,11.0,12.0,22.0,1.0,2.0,1.0,6.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,5.0,7.0,14.0,16.0,8.0,15.0,8.0,1.0,0.0,4.0,74.0,6.0,14.0,3.0,3.0,3.0,6.0,5.0,5.0,6.0,4.0,6,12.0,7.0,6.0,2.0,1.0,17.0,3.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,6.0,12.0,13.0,1.0,0.0,2.0,11.0,3.0,16.0,1.0,9.0,1.0,2.0,9.0,5.0,4.0,3.0,3.0,1.0,1.0,2.0,29.0,40.0,59.0,11.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,2.0,8.0,3.0,0.0,16.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,20.0,7.0,1.0,3.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0
0x2753dce37a7edb052a77832039bcc9aa49ad8b25,0,0,1,668,123,79.0,188.0,85.0,25,22.0,420.0,118.0,4.0,103,8.0,11.0,286.0,161.0,88.0,24.0,119.0,46.0,30,2.0,107.0,61.0,15.0,20.0,4.0,7.0,4.0,12.0,18.0,17.0,10.0,3.0,5.0,2.0,45.0,75.0,4.0,4.0,32.0,6.0,31.0,4.0,1.0,31.0,13.0,3.0,12.0,51.0,5.0,50.0,134.0,5.0,8.0,99.0,1.0,4.0,4.0,7.0,4.0,228,3.0,6.0,19.0,5.0,2.0,19.0,8.0,3.0,3.0,6.0,1.0,1.0,40.0,2.0,2,8.0,3.0,6.0,68,2.0,11.0,2.0,189.0,58.0,175.0,149.0,52.0,61.0,6.0,16.0,8.0,26.0,30.0,2,46,1.0,5.0,5.0,17.0,2.0,17.0,5.0,4.0,5.0,10.0,10.0,3.0,5.0,5.0,1.0,3.0,46.0,1.0,14.0,7.0,2.0,2.0,13.0,35.0,5.0,2.0,5.0,7.0,2.0,7,6.0,21.0,9.0,9.0,8.0,3.0,3.0,26.0,33.0,12.0,32.0,4.0,6.0,4.0,8.0,5.0,2.0,2.0,5.0,11.0,1.0,5.0,7.0,8.0,23.0,3.0,12.0,29.0,13.0,2.0,1.0,6.0,142.0,3.0,47.0,5.0,9.0,6.0,2.0,7.0,2.0,4.0,8.0,5,17.0,8.0,8.0,1.0,6.0,33.0,5.0,8.0,8.0,2.0,11.0,1.0,0.0,8.0,2.0,3.0,37.0,21.0,15.0,5.0,4.0,1.0,14.0,0.0,20.0,3.0,7.0,10.0,8.0,7.0,9.0,14.0,12.0,7.0,3.0,2.0,3.0,39.0,49.0,69.0,12.0,1.0,9.0,1.0,6.0,1.0,2.0,3.0,5.0,6.0,1.0,1.0,26.0,6.0,6.0,5.0,2.0,9.0,5.0,1.0,4.0,37.0,8.0,3.0,2.0,5.0,3.0,2.0,2.0,12.0,2.0,5.0,2.0,9.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0
0x94b7d24552933f50a5a5705c446528806dcea381,0,0,0,17,6,1.0,3.0,0.0,2,0.0,0.0,41.0,0.0,2,1.0,0.0,0.0,0.0,1.0,20.0,1.0,2.0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2,3,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe0b9d4146aad6936cbfcbe4dae47e34aab96b093,0,0,0,505,163,100.0,132.0,48.0,12,17.0,489.0,613.0,9.0,98,20.0,1.0,183.0,244.0,41.0,1867.0,110.0,13.0,39,5.0,87.0,47.0,3.0,15.0,3.0,8.0,10.0,10.0,29.0,5.0,23.0,0.0,6.0,3.0,18.0,56.0,5.0,6.0,4.0,4.0,24.0,13.0,1.0,7.0,7.0,2.0,5.0,53.0,0.0,7.0,102.0,3.0,4.0,324.0,12.0,1.0,6.0,0.0,3.0,375,13.0,2.0,8.0,18.0,6.0,22.0,6.0,4.0,1.0,9.0,11.0,0.0,6.0,3.0,8,9.0,0.0,30.0,70,1.0,10.0,29.0,280.0,82.0,176.0,178.0,53.0,160.0,27.0,52.0,22.0,30.0,57.0,27,137,3.0,7.0,12.0,18.0,1.0,7.0,4.0,4.0,1.0,31.0,15.0,6.0,1.0,14.0,14.0,4.0,25.0,2.0,12.0,3.0,3.0,2.0,11.0,11.0,12.0,7.0,19.0,0.0,3.0,5,9.0,15.0,6.0,6.0,3.0,4.0,14.0,25.0,16.0,16.0,52.0,5.0,5.0,5.0,8.0,28.0,2.0,6.0,11.0,11.0,7.0,3.0,10.0,6.0,26.0,0.0,12.0,1.0,23.0,1.0,4.0,13.0,38.0,6.0,19.0,7.0,4.0,7.0,4.0,17.0,5.0,10.0,12.0,10,12.0,4.0,4.0,5.0,16.0,0.0,1.0,3.0,7.0,1.0,9.0,4.0,8.0,0.0,1.0,4.0,5.0,7.0,3.0,21.0,2.0,2.0,3.0,1.0,2.0,8.0,6.0,13.0,8.0,9.0,26.0,4.0,22.0,2.0,3.0,2.0,14.0,17.0,11.0,29.0,3.0,15.0,38.0,10.0,6.0,3.0,3.0,8.0,2.0,9.0,5.0,6.0,8.0,13.0,2.0,11.0,1.0,2.0,9.0,0.0,3.0,12.0,7.0,5.0,32.0,13.0,0.0,6.0,2.0,4.0,3.0,2.0,1.0,15.0,3.0,8.0,2.0,13.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0
0x10f6f2b97f3ab29583d9d38babf2994df7220c21,1,0,1,735,213,122.0,159.0,81.0,19,54.0,721.0,1046.0,6.0,118,10.0,7.0,311.0,415.0,53.0,2315.0,154.0,19.0,54,11.0,113.0,44.0,7.0,11.0,9.0,9.0,12.0,8.0,14.0,7.0,13.0,10.0,34.0,3.0,28.0,60.0,4.0,6.0,9.0,13.0,45.0,6.0,7.0,12.0,11.0,9.0,12.0,58.0,11.0,12.0,180.0,7.0,15.0,515.0,7.0,3.0,6.0,11.0,1.0,537,13.0,5.0,10.0,3.0,8.0,34.0,6.0,7.0,1.0,5.0,32.0,2.0,12.0,9.0,5,8.0,1.0,25.0,114,4.0,13.0,62.0,416.0,106.0,255.0,258.0,104.0,214.0,12.0,20.0,39.0,18.0,73.0,22,135,3.0,4.0,7.0,17.0,1.0,15.0,4.0,2.0,4.0,6.0,5.0,9.0,2.0,7.0,21.0,5.0,53.0,5.0,6.0,13.0,1.0,3.0,3.0,18.0,23.0,3.0,25.0,2.0,2.0,11,10.0,18.0,4.0,7.0,3.0,8.0,1.0,22.0,5.0,16.0,49.0,2.0,6.0,2.0,2.0,10.0,5.0,4.0,6.0,9.0,14.0,3.0,37.0,9.0,46.0,8.0,14.0,2.0,30.0,13.0,2.0,11.0,27.0,13.0,12.0,6.0,5.0,8.0,27.0,9.0,9.0,6.0,30.0,22,20.0,6.0,13.0,2.0,12.0,8.0,8.0,5.0,12.0,3.0,16.0,22.0,1.0,2.0,7.0,3.0,26.0,9.0,9.0,5.0,3.0,5.0,7.0,4.0,18.0,3.0,11.0,3.0,3.0,12.0,3.0,9.0,4.0,4.0,3.0,3.0,3.0,23.0,31.0,41.0,10.0,3.0,11.0,2.0,14.0,0.0,3.0,0.0,23.0,13.0,28.0,4.0,44.0,2.0,3.0,2.0,0.0,3.0,2.0,2.0,26.0,18.0,8.0,3.0,8.0,4.0,1.0,1.0,5.0,20.0,7.0,8.0,3.0,0.0,6.0,5.0,3.0,0.0,18.0,2.0,11.0,3.0,2.0,0.0,19.0,4.0
0x11cbc781dadaad13fc3a361772c80b1c027820af,0,0,0,948,255,107.0,206.0,78.0,25,41.0,482.0,344.0,1.0,172,11.0,2.0,343.0,257.0,67.0,33.0,164.0,26.0,77,3.0,142.0,72.0,17.0,12.0,18.0,3.0,5.0,19.0,24.0,10.0,12.0,0.0,7.0,2.0,34.0,53.0,20.0,2.0,24.0,4.0,40.0,6.0,1.0,17.0,14.0,2.0,13.0,49.0,18.0,103.0,105.0,10.0,11.0,197.0,15.0,2.0,6.0,4.0,2.0,299,15.0,11.0,5.0,2.0,2.0,28.0,9.0,2.0,3.0,3.0,16.0,0.0,30.0,6.0,5,19.0,9.0,50.0,121,5.0,4.0,2.0,199.0,55.0,185.0,167.0,69.0,86.0,11.0,16.0,12.0,57.0,56.0,3,22,2.0,2.0,2.0,28.0,3.0,6.0,16.0,10.0,0.0,14.0,12.0,4.0,3.0,2.0,2.0,8.0,109.0,2.0,11.0,4.0,3.0,4.0,17.0,23.0,9.0,4.0,4.0,2.0,2.0,5,7.0,36.0,0.0,5.0,5.0,5.0,1.0,24.0,19.0,36.0,32.0,15.0,5.0,2.0,5.0,40.0,5.0,3.0,6.0,8.0,1.0,2.0,4.0,7.0,36.0,4.0,10.0,22.0,12.0,2.0,10.0,2.0,174.0,4.0,19.0,3.0,4.0,3.0,3.0,19.0,3.0,4.0,15.0,14,29.0,9.0,9.0,2.0,1.0,23.0,7.0,15.0,4.0,2.0,9.0,1.0,1.0,4.0,1.0,7.0,28.0,13.0,13.0,3.0,1.0,1.0,13.0,5.0,14.0,0.0,8.0,1.0,7.0,5.0,7.0,11.0,5.0,4.0,7.0,2.0,4.0,38.0,40.0,48.0,17.0,1.0,31.0,1.0,5.0,25.0,17.0,11.0,2.0,4.0,13.0,2.0,21.0,10.0,2.0,8.0,5.0,2.0,15.0,5.0,2.0,18.0,6.0,4.0,33.0,3.0,1.0,1.0,3.0,8.0,5.0,1.0,11.0,3.0,1.0,11.0,1.0,9.0,5.0,2.0,1.0,1.0,4.0,0.0,12.0,1.0
0x3e597ea168a85aa2ae5e2c4333665bcd875ed10f,0,0,1,419,76,55.0,116.0,45.0,11,13.0,218.0,93.0,3.0,65,7.0,4.0,192.0,89.0,26.0,20.0,50.0,8.0,25,4.0,67.0,28.0,5.0,10.0,2.0,2.0,2.0,7.0,22.0,17.0,8.0,1.0,12.0,3.0,35.0,21.0,4.0,2.0,18.0,5.0,18.0,2.0,0.0,9.0,9.0,0.0,18.0,32.0,2.0,32.0,69.0,2.0,4.0,65.0,2.0,0.0,9.0,1.0,1.0,134,5.0,4.0,6.0,1.0,3.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,25.0,1.0,1,3.0,2.0,3.0,38,1.0,3.0,1.0,93.0,32.0,112.0,87.0,30.0,44.0,2.0,4.0,12.0,11.0,22.0,4,24,4.0,3.0,1.0,9.0,3.0,17.0,2.0,2.0,1.0,30.0,10.0,1.0,3.0,1.0,0.0,2.0,26.0,2.0,1.0,3.0,1.0,3.0,0.0,24.0,2.0,0.0,0.0,1.0,2.0,1,3.0,9.0,5.0,5.0,3.0,1.0,1.0,11.0,11.0,7.0,14.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,9.0,0.0,3.0,17.0,10.0,0.0,2.0,5.0,81.0,2.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5,13.0,5.0,2.0,0.0,4.0,17.0,0.0,4.0,9.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,6.0,7.0,2.0,2.0,2.0,1.0,0.0,13.0,1.0,7.0,1.0,1.0,6.0,3.0,7.0,2.0,1.0,3.0,2.0,1.0,31.0,31.0,42.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,1.0,5.0,3.0,0.0,2.0,13.0,4.0,2.0,5.0,0.0,2.0,2.0,0.0,1.0,25.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,8.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0
0x292e89d5d5bdab3af2f5838c194c1983f0140b43,0,0,1,418,78,61.0,118.0,44.0,10,11.0,218.0,93.0,3.0,64,9.0,0.0,192.0,90.0,28.0,21.0,50.0,7.0,25,3.0,67.0,34.0,6.0,11.0,2.0,3.0,3.0,8.0,8.0,18.0,9.0,0.0,5.0,5.0,35.0,21.0,3.0,6.0,18.0,8.0,16.0,2.0,1.0,10.0,10.0,1.0,14.0,31.0,3.0,32.0,69.0,3.0,4.0,67.0,4.0,1.0,2.0,1.0,1.0,135,4.0,6.0,5.0,4.0,2.0,17.0,3.0,2.0,0.0,0.0,1.0,0.0,23.0,1.0,1,4.0,2.0,1.0,37,1.0,3.0,2.0,92.0,31.0,111.0,87.0,30.0,44.0,2.0,5.0,12.0,25.0,20.0,2,24,1.0,1.0,0.0,10.0,1.0,17.0,2.0,1.0,0.0,29.0,9.0,2.0,3.0,2.0,0.0,3.0,26.0,3.0,0.0,2.0,0.0,2.0,0.0,23.0,3.0,1.0,2.0,1.0,7.0,5,3.0,8.0,4.0,4.0,3.0,1.0,1.0,12.0,11.0,7.0,13.0,2.0,6.0,1.0,4.0,4.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,11.0,0.0,3.0,17.0,12.0,1.0,1.0,2.0,79.0,3.0,7.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5,15.0,6.0,4.0,0.0,2.0,17.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,4.0,0.0,3.0,5.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,14.0,0.0,7.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,31.0,31.0,41.0,5.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,19.0,2.0,4.0,5.0,7.0,2.0,2.0,3.0,1.0,25.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xef20505c8b343d12da174bf9d8495c1ce2670989,0,0,1,412,67,55.0,118.0,46.0,10,11.0,218.0,83.0,2.0,66,7.0,1.0,196.0,90.0,27.0,20.0,51.0,15.0,23,3.0,69.0,28.0,6.0,9.0,1.0,3.0,2.0,8.0,9.0,15.0,8.0,0.0,12.0,4.0,35.0,34.0,3.0,1.0,18.0,5.0,21.0,1.0,0.0,9.0,9.0,0.0,18.0,33.0,2.0,32.0,74.0,5.0,5.0,65.0,2.0,1.0,7.0,1.0,1.0,135,4.0,5.0,5.0,2.0,2.0,11.0,4.0,2.0,0.0,1.0,1.0,3.0,23.0,1.0,1,3.0,3.0,1.0,37,1.0,8.0,0.0,93.0,31.0,111.0,93.0,33.0,45.0,2.0,4.0,14.0,10.0,19.0,2,26,2.0,1.0,0.0,6.0,1.0,21.0,1.0,1.0,0.0,25.0,10.0,1.0,3.0,1.0,0.0,2.0,27.0,1.0,0.0,4.0,1.0,2.0,2.0,23.0,2.0,0.0,0.0,1.0,2.0,2,5.0,8.0,4.0,5.0,3.0,0.0,1.0,13.0,12.0,7.0,14.0,2.0,2.0,1.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,9.0,3.0,4.0,16.0,12.0,0.0,6.0,2.0,80.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,6,12.0,6.0,3.0,0.0,3.0,16.0,2.0,0.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,7.0,7.0,5.0,2.0,1.0,3.0,0.0,12.0,0.0,10.0,0.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,32.0,31.0,41.0,4.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,14.0,0.0,2.0,4.0,1.0,0.0,3.0,0.0,2.0,24.0,5.0,3.0,0.0,1.0,1.0,3.0,4.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
0xc71d244f7ad6c869ecbf13cbd9acae31718be4f8,0,0,1,410,71,55.0,118.0,49.0,13,11.0,219.0,84.0,2.0,64,7.0,0.0,197.0,88.0,27.0,20.0,50.0,12.0,22,4.0,67.0,28.0,6.0,9.0,1.0,2.0,4.0,7.0,7.0,19.0,9.0,0.0,6.0,4.0,35.0,20.0,3.0,1.0,18.0,4.0,20.0,1.0,3.0,13.0,9.0,1.0,18.0,33.0,2.0,32.0,73.0,3.0,5.0,65.0,2.0,0.0,3.0,2.0,1.0,134,5.0,8.0,6.0,1.0,3.0,12.0,3.0,2.0,0.0,0.0,1.0,0.0,23.0,2.0,7,3.0,4.0,2.0,39,4.0,6.0,0.0,93.0,31.0,112.0,93.0,33.0,45.0,2.0,4.0,15.0,10.0,19.0,2,24,0.0,1.0,2.0,7.0,1.0,18.0,2.0,3.0,1.0,24.0,8.0,1.0,3.0,2.0,0.0,3.0,27.0,2.0,1.0,10.0,1.0,3.0,0.0,24.0,3.0,1.0,1.0,0.0,2.0,2,4.0,9.0,4.0,4.0,2.0,1.0,2.0,12.0,11.0,10.0,14.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,23.0,1.0,3.0,17.0,12.0,1.0,4.0,1.0,80.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,5,17.0,6.0,4.0,0.0,4.0,16.0,0.0,1.0,7.0,2.0,4.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,5.0,2.0,0.0,0.0,4.0,0.0,12.0,1.0,6.0,2.0,2.0,6.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,31.0,31.0,47.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,17.0,0.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,24.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
